#x [mm];y [mm];z [mm];HxRe [A/m];HxIm [A/m];HyRe [A/m];HyIm [A/m];HzRe [A/m];HzIm [A/m]
-1.1;-1.1;0;-5.5542469;-5.1483741;-14.317509;-13.238988;8.662323;8.0595398
-1.09;-1.1;0;-5.4630346;-5.0632305;-14.403112;-13.31887;8.7287712;8.1216259
-1.08;-1.1;0;-5.3718233;-4.9780874;-14.488716;-13.398752;8.7952194;8.183712
-1.07;-1.1;0;-5.280611;-4.8929443;-14.57432;-13.478633;8.8616676;8.2457981
-1.06;-1.1;0;-5.1893983;-4.8077998;-14.659925;-13.558517;8.9281178;8.3078852
-1.05;-1.1;0;-5.098186;-4.7226567;-14.745528;-13.638397;8.994565;8.3699713
-1.04;-1.1;0;-5.0069742;-4.6375132;-14.831131;-13.718279;9.0610132;8.4320574
-1.03;-1.1;0;-4.9157624;-4.5523696;-14.916736;-13.798162;9.1274624;8.4941435
-1.02;-1.1;0;-4.8245506;-4.4672265;-15.002339;-13.878043;9.1939096;8.5562296
-1.01;-1.1;0;-4.7333384;-4.3820834;-15.087942;-13.957924;9.2603579;8.6183157
-1;-1.1;0;-4.6421266;-4.2969398;-15.173547;-14.037807;9.326807;8.6804018
-0.99;-1.1;0;-4.5509148;-4.2117963;-15.25915;-14.117688;9.3932552;8.7424889
-0.98;-1.1;0;-4.4597025;-4.1266537;-15.344753;-14.197571;9.4597034;8.804574
-0.97;-1.1;0;-4.3684907;-4.0415101;-15.430358;-14.277452;9.5261517;8.8666601
-0.96;-1.1;0;-4.2772784;-3.9563665;-15.515962;-14.357334;9.5925999;8.9287472
-0.95;-1.1;0;-4.1860662;-3.8712232;-15.601566;-14.437216;9.6590481;8.9908333
-0.94;-1.1;0;-4.0948544;-3.7860796;-15.687169;-14.517097;9.7254972;9.0529194
-0.93;-1.1;0;-4.0036426;-3.7009363;-15.772773;-14.596979;9.7919455;9.1150055
-0.92;-1.1;0;-3.9124308;-3.6157935;-15.858377;-14.676862;9.8583927;9.1770916
-0.91;-1.1;0;-3.8212187;-3.5306499;-15.94398;-14.756743;9.9248419;9.2391777
-0.9;-1.1;0;-3.7300067;-3.4455061;-16.029583;-14.836626;9.991291;9.3012648
-0.89;-1.1;0;-3.6387947;-3.3603632;-16.115189;-14.916507;10.057739;9.3633509
-0.88;-1.1;0;-3.5475826;-3.2752197;-16.20079;-14.996388;10.124188;9.425437
-0.87;-1.1;0;-3.4563711;-3.1900764;-16.286396;-15.076271;10.190636;9.4875231
-0.86;-1.1;0;-3.365159;-3.1049328;-16.372;-15.156153;10.257084;9.5496092
-0.85;-1.1;0;-3.273947;-3.0197897;-16.457603;-15.236034;10.323533;9.6116962
-0.84;-1.1;0;-3.1827345;-2.9346457;-16.543207;-15.315918;10.389981;9.6737823
-0.83;-1.1;0;-3.0915227;-2.8495023;-16.628811;-15.3958;10.456429;9.7358685
-0.82;-1.1;0;-3.0003104;-2.7643592;-16.714415;-15.47568;10.522877;9.7979546
-0.81;-1.1;0;-2.9090986;-2.6792159;-16.800018;-15.555563;10.589326;9.8600407
-0.8;-1.1;0;-2.8178868;-2.5940726;-16.885624;-15.635445;10.655774;9.9221268
-0.79;-1.1;0;-2.7266748;-2.5089293;-16.971226;-15.715326;10.722222;9.9842129
-0.78;-1.1;0;-2.6354623;-2.4237852;-17.056831;-15.795208;10.788671;10.046299
-0.77;-1.1;0;-2.5442505;-2.3386421;-17.142433;-15.87509;10.85512;10.108385
-0.76;-1.1;0;-2.4530382;-2.2534986;-17.228039;-15.954972;10.921568;10.170471
-0.75;-1.1;0;-2.3618264;-2.1683555;-17.313643;-16.034855;10.988016;10.232558
-0.74;-1.1;0;-2.2706146;-2.0832119;-17.399246;-16.114735;11.054464;10.294643
-0.73;-1.1;0;-2.1794028;-1.9980688;-17.484848;-16.194618;11.120913;10.35673
-0.72;-1.1;0;-2.088191;-1.9129254;-17.570454;-16.2745;11.187361;10.418816
-0.71;-1.1;0;-1.9969784;-1.8277818;-17.656055;-16.354382;11.253809;10.480902
-0.7;-1.1;0;-1.9057664;-1.7426385;-17.741661;-16.434263;11.320257;10.542989
-0.69;-1.1;0;-1.8145546;-1.6574953;-17.827263;-16.514145;11.386705;10.605075
-0.68;-1.1;0;-1.7233425;-1.5723518;-17.912868;-16.594027;11.453154;10.667161
-0.67;-1.1;0;-1.6321307;-1.4872086;-17.99847;-16.673908;11.519602;10.729247
-0.66;-1.1;0;-1.5409188;-1.4020652;-18.084076;-16.75379;11.58605;10.791333
-0.65;-1.1;0;-1.4497063;-1.3169212;-18.169678;-16.833672;11.652499;10.85342
-0.64;-1.1;0;-1.3584943;-1.231778;-18.255283;-16.913555;11.718948;10.915506
-0.63;-1.1;0;-1.2672825;-1.1466347;-18.340885;-16.993435;11.785397;10.977592
-0.62;-1.1;0;-1.1760705;-1.0614915;-18.426491;-17.073318;11.851844;11.039679
-0.61;-1.1;0;-1.0848585;-0.97634804;-18.512094;-17.153198;11.918293;11.101765
-0.6;-1.1;0;-0.99364686;-0.89120483;-18.597698;-17.233082;11.984741;11.163851
-0.59;-1.1;0;-0.90243411;-0.80606091;-18.683302;-17.312963;12.051189;11.225937
-0.58;-1.1;0;-0.81122208;-0.7209177;-18.768906;-17.392845;12.117638;11.288023
-0.57;-1.1;0;-0.72001028;-0.63577437;-18.854509;-17.472727;12.184086;11.350109
-0.56;-1.1;0;-0.62879825;-0.55063105;-18.940113;-17.552608;12.250534;11.412195
-0.55;-1.1;0;-0.53758645;-0.46548772;-19.025717;-17.63249;12.316982;11.474281
-0.54;-1.1;0;-0.44637465;-0.38034439;-19.11132;-17.712372;12.38343;11.536367
-0.53;-1.1;0;-0.35516214;-0.29520059;-19.196926;-17.792255;12.449881;11.598454
-0.52;-1.1;0;-0.26395011;-0.21005726;-19.282528;-17.872137;12.516329;11.660541
-0.51;-1.1;0;-0.17273831;-0.12491393;-19.368132;-17.952019;12.582776;11.722627
-0.5;-1.1;0;-0.081526041;-0.039770603;-19.453735;-18.0319;12.649225;11.784714
-0.49;-1.1;0;0.0096857548;0.045372725;-19.539339;-18.111782;12.715673;11.846799
-0.48;-1.1;0;0.10089737;0.13051566;-19.624943;-18.191664;12.782122;11.908886
-0.47;-1.1;0;0.19210941;0.21565899;-19.710546;-18.271545;12.848571;11.970972
-0.46;-1.1;0;0.2833212;0.30080232;-19.79615;-18.351427;12.915019;12.033058
-0.45;-1.1;0;0.37453389;0.38594651;-19.881754;-18.431311;12.981466;12.095144
-0.44;-1.1;0;0.46574593;0.47108984;-19.967358;-18.51119;13.047915;12.15723
-0.43;-1.1;0;0.55695772;0.55623317;-20.052963;-18.591072;13.114364;12.219316
-0.42;-1.1;0;0.64816952;0.64137626;-20.138565;-18.670956;13.180811;12.281403
-0.41;-1.1;0;0.73938179;0.7265197;-20.224171;-18.750837;13.247259;12.343489
-0.4;-1.1;0;0.83059359;0.81166291;-20.309774;-18.830719;13.313708;12.405575
-0.39;-1.1;0;0.92180598;0.89680684;-20.395378;-18.910603;13.380157;12.467662
